Portaria,Grupo,Classe,Ordem,Familia,Espécie,Nome,Categoria
444,Invertebrados Terrestres,Arachnida,Scorpiones,Buthidae,"Rhopalurus lacrau Lourenço & Pinto-da-Rocha, 1997",Escorpião,EN
444,Invertebrados Terrestres,Arachnida,Scorpiones,Buthidae,"Troglorhopalurus translucidus Lourenço, Baptista & Giupponi, 2004",Escorpião,EN
444,Invertebrados Terrestres,Arachnida,Scorpiones,Chactidae,"Hadrurochactas araripe Lourenço, 2010",Escorpião,CR
444,Invertebrados Terrestres,Arachnida,Scorpiones,Chactidae,"Hadrurochactas brejo Lourenço, 1988",Escorpião,CR
444,Invertebrados Terrestres,Chilopoda,Scolopendromorpha,Cryptopidae,"Cryptops (Cryptops) spelaeoraptor Azara & Ferreira, 2014","Lacraia, centopeia",VU
444,Invertebrados Terrestres,Chilopoda,Scolopendromorpha,Cryptopidae,"Cryptops (Trigonocryptops) iporangensisAzara & Ferreira, 2013","Lacraia, centopeia",EN
444,Invertebrados Terrestres,Chilopoda,Scolopendromorpha,Scolopendridae,"Scolopendropsis duplicata Chagas-Jr, Edgecombe & Minelli, 2008","Lacraia, centopeia",CR
444,Invertebrados Terrestres,Diplopoda,Glomeridesmida,Glomerodesmidae,"Glomeridesmus spelaues Iniesta, Ferreira & Wesener 2012",Piolho-de-cobra,CR
444,Invertebrados Terrestres,Diplopoda,Polydesmida,Chelodesmidae,Dioplosternus salvatrix Hoffman 2005,Piolho-de-cobra,VU
444,Invertebrados Terrestres,Diplopoda,Polydesmida,Chelodesmidae,"Leodesmus yporangae (Schubart, 1946)",Piolho-de-cobra,CR
444,Invertebrados Terrestres,Diplopoda,Polydesmida,Chelodesmidae,Odontopeltis giganteus (Schubart 1949),Piolho-de-cobra,VU
444,Invertebrados Terrestres,Diplopoda,Polydesmida,Chelodesmidae,Sandalodesmus stramineus (Schubart 1956),Piolho-de-cobra,VU
444,Invertebrados Terrestres,Diplopoda,Polydesmida,Cryptodesmidae,"Peridontodesmella alba Schubart, 1957",Piolho-de-cobra,EN
444,Invertebrados Terrestres,Diplopoda,Polydesmida,Pyrgodesmidae,"Yporangiella stygius Schubart, 1946",Piolho-de-cobra,VU
444,Invertebrados Terrestres,Diplopoda,Spirostreptida,Spirostreptidae,Pseudonannolene ambuatinga Iniesta & Ferreira 2013,Piolho-de-cobra,EN
444,Invertebrados Terrestres,Diplopoda,Spirostreptida,Spirostreptidae,Pseudonannolene gogo Iniesta & Ferreira 2013,Piolho-de-cobra,VU
444,Invertebrados Terrestres,Diplopoda,Spirostreptida,Spirostreptidae,"Pseudonannolene imbirensis Fontanetti, 1996",Piolho-de-cobra,EN
444,Invertebrados Terrestres,Diplopoda,Spirostreptida,Spirostreptidae,Pseudonannolene spelaea Iniesta & Ferreira 2013,Piolho-de-cobra,CR
444,Invertebrados Terrestres,Diplopoda,Spirostreptida,Spirostreptidae,"Pseudonannolene tocaiensis Fontanetti, 1996",Piolho-de-cobra,CR
444,Invertebrados Terrestres,Entognatha,Collembola,Paronellidae,"Troglobius brasiliensis Palacios-Vargas & Zeppelini, 1995",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Collembola,Paronellidae,"Troglobius ferroicus Zeppelini, Silva & Palacios-Vargas, 2014",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Collembola,Paronellidae,"Trogolaphysa aelleni Yosii, 1988",Colêmbolo,VU
444,Invertebrados Terrestres,Entognatha,Collembola,Paronellidae,"Trogolaphysa hauseri Yosii, 1988",Colêmbolo,VU
444,Invertebrados Terrestres,Entognatha,Collembola,Sminthuridae,"Pararrhopalites papaveroi (Zeppelini & Palacios-Vargas, 1999)",Colêmbolo,EN
444,Invertebrados Terrestres,Entognatha,Collembola,Sminthuridae,"Pararrhopalites wallacei (Palacios-Vargas & Zeppelini, 1995)",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Entomobryomorpha,Isotomidae,"Isotomiella uai Mendonça, Abrantes & Neves, 2012",Colêmbolo,VU
444,Invertebrados Terrestres,Entognatha,Poduromorpha,Hypogastruridae,"Acherontides eleonorae Palacios-Vargas & Gnaspini-Netto, 1992",Colêmbolo,EN
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites alambariensis Zeppelini, 2006",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites amorimi Palacios-Vargas & Zeppelini, 1995",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites botuveraensis Zeppelini, 2006",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites gnaspinii (Palacios-Vargas & Zeppelini, 1995)",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites heteroculatus Zeppelini, 2006",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites lawrencei Palacios-Vargas & Zeppelini, 1995",Colêmbolo,CR
444,Invertebrados Terrestres,Entognatha,Symphypleona,Arrhopalitidae,"Arrhopalites paranaensis Zeppelini, 2006",Colêmbolo,CR
444,Invertebrados Terrestres,Gastropoda,Gymnomorpha,Veronicellidae,"Phyllocaulis renschi Thomé, 1965",Lesma,EN
444,Invertebrados Terrestres,Gastropoda,Pulmonata,Bulimulidae,"Thaumastus lundi Pena, Salgado e Coelho, 2005",Desconhecido,CR
444,Invertebrados Terrestres,Gastropoda,Pulmonata,Bulimulidae,"Tomigerus (Digerus) gibberulus (Burrow, 1815)",Caracol,EN
444,Invertebrados Terrestres,Gastropoda,Pulmonata,Odontostomidae,"Macrodontes dautzenbergianus Pilsbry, 1898",Desconhecido,VU
444,Invertebrados Terrestres,Gastropoda,Pulmonata,Streptaxidae,"Hypselartemon alveus (Dunker, 1845)",Caracol,VU
444,Invertebrados Terrestres,Gastropoda,Pulmonata,Succineidae,"Succinea lopesi Lanzieri, 1966",Desconhecido,EN
444,Invertebrados Terrestres,Gastropoda,Stylommatophora,Megalobulimidae,"Megalobulimus cardosoi (Morretes, 1952)",Aruá-do-mato,CR
444,Invertebrados Terrestres,Gastropoda,Stylommatophora,Strophocheilidae,"Gonyostomus insularis Leme, 1974",Caracol-da-ilha,EN
444,Invertebrados Terrestres,Insecta,Anisoptera,Aeshnidae,Castoraeschna januaria (Hagen 1967),Libélula,VU
444,Invertebrados Terrestres,Insecta,Anisoptera,Aeshnidae,"Rhionaeschna eduardoi Machado, 1984)",Libélula,EN
444,Invertebrados Terrestres,Insecta,Anisoptera,Gomphidae,"Phyllocycla bartica Calvert, 1948",Libélula,VU
444,Invertebrados Terrestres,Insecta,Anisoptera,Libellulidae,"Elasmothemis schubarti (Santos, 1945)",Libélula,EN
444,Invertebrados Terrestres,Insecta,Anisoptera,Libellulidae,"Macrothemis tessellata (Burmeister, 1839)",Libélula,VU
444,Invertebrados Terrestres,Insecta,Anisoptera,Libellulidae,"Micrathyria borgmeieri Santos, 1947",Libélula,VU
444,Invertebrados Terrestres,Insecta,Anisoptera,Libellulidae,"Micrathyria divergens Westfall, 1992",Libélula,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium bezerra Gnaspini, Vanin & Godoy, 1998",Besouro,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium caatinga Pellegrini & Ferreira, 2014",Besouro,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium cessaima Gnaspini, Vanin & Godoy, 1998",Besouro,CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium formoso Pellegrini & Ferreira, 2011",Besouro,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium pains Alvares & Ferreira, 2002",Besouro,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium ricardoi Bená & Vanin, 2014",Besouro,CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium tapiaguassu Pellegrini & Ferreira, 2011",Besouro,CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Coarazuphium tessai (Godoy & Vanin, 1990)",Besouro,CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Carabidae,"Schizogenius ocellatus Whitehead, 1972",Besouro,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Ciidae,"Ceracis cassumbensis Antunes-Carvalho & Lopes-Andrade, 2011",Desconhecido,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Dytiscidae,"Copelatus cessaima Caetano, Bená & Vanin, 2013","Besouro-mergulhador, Besouro d'água",CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Lampyridae,"Amydetes bellorum Silveira e Mermudes, 2014",Vagalume,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus campoi Grossi & Koike, 2011",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus dulceae (Bomans & Arnaud, 2002)",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus godinhorum (Bomans & Arnaud, 1996)",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus koikei Grossi, 2010",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus rotundatus (Boileau, 1902)",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus ruficollis (Luederwaldt, 1931)",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lucanidae,"Altitatiayus trifurcatus (Grossi & Racca-Filho, 2004)",Besouro-tesoura,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Lycidae,"Cartagonum apiuba Nascimento & Bocakova, 2010",Besouro,CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Lycidae,"Lycomorphon brasiliense Nascimento & Bocakova, 2009",Besouro,CR
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Ateuchus squalidus (Fabricius, 1775)",Desconhecido,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Canthon corpulentus Harold, 1868",Besouro rola-bosta,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Canthon quadripunctatus Redtenbacher, 1867",Besouro rola-bosta,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Dichotomius eucranioides Pereira & Andretta, 1955",Besouro rola-bosta,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Dichotomius mysticus (Luederwaldt, 1935)",Besouro rola-bosta,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Dichotomius schiffleri Vaz de Mello, Louzada & Gavino, 2001",Besouro rola-bosta,EN
444,Invertebrados Terrestres,Insecta,Coleoptera,Scarabaeidae,"Pedaridium hirsutum (Harold, 1859)",Besouro rola-bosta,VU
444,Invertebrados Terrestres,Insecta,Coleoptera,Vesperidae,"Hypocephalus armatus Desmarest, 1832",Carocha,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Baetidae,"Adebrotus lugoi Salles, 2010",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Baetidae,"Baetodes capixaba de-Souza, Salles & Nessimian, 2011",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Baetidae,"Baetodes iuaquita de-Souza, Salles & Nessimian, 2011",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Baetidae,"Camelobaetidius maranhensis Salles & Serrão, 2005",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Baetidae,"Camelobaetidius spinosus Boldrini & Salles, 2012",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Baetidae,"Camelobaetidius yacutinga Nieto, 2003",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Leptophlebiidae,"Hermanella amere Nascimento & Salles, 2013",Siriruia,EN
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Leptophlebiidae,"Hermanella mazama (Nascimento, Mariano & Salles, 2012)",Siriruia,EN
444,Invertebrados Terrestres,Insecta,Ephemeroptera,Leptophlebiidae,"Hermanella nigra Nascimento & Salles, 2013",Siriruia,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Andrenidae,"Arhysosage cactorum Moure, 1999",Abelha,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Apidae,"Melipona (Michmelia) capixaba Moure & Camargo, 1994","Uruçu-preto, uruçu-negra",EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Apidae,"Melipona (Michmelia) rufiventris Lepeletier, 1836","Tujuba, tujuva, tuiuva",EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Apidae,"Melipona (Michmelia) scutellaris Latreille, 1811",Uruçu,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Apidae,"Partamona littoralis Pedro & Camargo, 2003",Abelha,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Anochetus oriens Kempf, 1964",Formiga,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Atta robusta Borgmeier, 1939",Saúva-preta,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Brachymyrmex micromegas Emery,1923",Formiga,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Diaphoromyrma sofiae Fernández, Delabie & Nascimento, 2009",Formiga,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Dinoponera lucida Emery, 1901",Formiga,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,Gnamptogenys wilsoni Lattke 2007,Formiga,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Lachnomyrmex nordestinus Feitosa & Brandão, 2008",Formiga,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Monomorium delabiei Fernández, 2007",Formiga,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Mycetagroicus urbanus Brandão & Mayhé-Nunes, 2001",Formiga,CR
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Mycetophylax simplex (Emery, 1888)",Formiga,VU
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Rhopalothrix plaumanni Brown & Kempf, 1960",Formiga,EN
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Stigmatomma cleae (Lacau & Delabie, 2002)",Formiga,CR
444,Invertebrados Terrestres,Insecta,Hymenoptera,Formicidae,"Trachymyrmex atlanticus Mayhé-Nunes & Brandão, 2007",Formiga,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Drephalys miersi Mielke, 1968",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Drephalys mourei Mielke, 1968",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Olafia roscius iphimedia (Plötz, 1886)",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Parelbella polyzona (Latreille, 1824)",Diabinha,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Pseudocroniades machaon seabrai Mielke, 1995",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Turmada camposa (Plötz, 1886)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Hesperiidae,"Zonia zonia diabo Mielke & Casagrande, 1998",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Lycaenidae,"Arawacus aethesa (Hewitson, 1867)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Lycaenidae,"Magnastigma julia Nicolay, 1977",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Lycaenidae,"Strymon ohausi (Spitz, 1933)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Actinote quadra (Schaus, 1902)",Borboleta-palha,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Actinote zikani D´Almeida, 1951",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Callicore hydarnis (Godart, 1824)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Dasyophthalma geraensis Rebel, 1922",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Dasyophthalma rusina delanira Hewitson, 1862",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Dasyophthalma vertebralis Butler, 1869",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Doxocopa zalmunna (Butler, 1869)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Episcada vitrea D'Almeida & Mielke, 1967",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Eresia erysice erysice (Geyer, 1832)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Euptychia boulleti (Le Cerf, 1919)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Hamadryas velutina browni D.W. Jenkins, 1983",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Heliconius nattereri C. Felder & R. Felder, 1865",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Hyalyris fiammetta (Hewitson, 1852)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Hyalyris leptalina leptalina (C. Felder & R. Felder, 1865)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Mcclungia cymo fallens (Haensch, 1905)",Asa-de-vidro,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Melinaea mnasias thera C. Felder & R. Felder, 1865",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Morpho epistrophus nikolajewna Weber, 1951",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Morpho menelaus eberti Fischer, 1962",Azul-seda,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Napeogenes rhezia rhezia (Geyer, 1834)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Orobrassolis ornamentalis (Stichel, 1906)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Pampasatyrus glaucope boenninghauseni (Foetterle, 1902)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Pampasatyrus glaucope glaucope (C. Felder & R. Felder, 1867)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Pampasatyrus gyrtone (Berg, 1877)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Polygrapha suprema (Schaus, 1920)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Prepona deiphile (Godart, 1824)",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Scada karschina delicata Talbot, 1932",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Nymphalidae,"Tithorea harmonia caissara (Zikán, 1941)",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Heraclides himeros baia (Rothschild & Jordan, 1906)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Heraclides himeros himeros (Hopffer, 1865)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Mimoides lysithous harrisianus (Swainson, 1822)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Mimoides lysithous sebastianus (Oberthür, 1880)",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Parides ascanius (Cramer, 1775)",Borboleta-da-praia,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Parides bunichus chamissonia (Eschscholtz, 1821)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Parides burchellanus (Westwood, 1872)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Parides klagesi (Ehrmann, 1904)",Borboleta,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Parides panthonus castilhoi (D’Almeida, 1967)",Rabo-de-andorinha,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Papilionidae,"Parides tros danunciae (O. Mielke, Casagrande & C. Mielke, 2000)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pieridae,"Charonias theano (Boisduval, 1836)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pieridae,"Cunizza hirlanda fulvinota (Butler, 1871)",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pieridae,"Cunizza hirlanda planasia Fruhstorfer, 1910",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pieridae,"Glennia pylotis (Godart, 1819)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pieridae,"Moschoneura pinthous methymna (Godart, 1819)",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pieridae,"Perrhybris pamela flava Oberthür, 1896",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Pyralidae,"Parapoynx restingalis Da Silva & Nessimian, 1990",Mariposa,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Riodinidae,"Joiceya praeclarus Talbot, 1928",Fadinha,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Riodinidae,"Nirodia belphegor (Westwood, 1851)",Fadinha,CR
444,Invertebrados Terrestres,Insecta,Lepidoptera,Riodinidae,"Panara ovifera Seitz, 1916",Borboleta,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Riodinidae,"Petrocerus catiena (Hewitson, 1875)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Riodinidae,"Voltinia sanarita (Schaus, 1902)",Borboleta,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Saturniidae,"Dirphia monticola Zerny, 1924",Mariposa,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Sphingidae,"Aleuron prominens (Walker, 1856)",Mariposa,VU
444,Invertebrados Terrestres,Insecta,Lepidoptera,Sphingidae,"Aleuron ypanemae (Boisduval, 1875)",Mariposa,EN
444,Invertebrados Terrestres,Insecta,Lepidoptera,Sphingidae,"Nyceryx mielkei Haxaire, 2009",Mariposa,CR
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Aceratobasis cornicauda (Calvert, 1909)",Libélula,VU
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Aceratobasis mourei (Santos, 1970)",Libélula,EN
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Fluminagrion taxaense (Santos, 1965)",Libélula,CR
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Homeoura lindneri (Ris, 1928)",Libélula,VU
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Leptagrion acutum  Santos, 1961",Libélula,CR
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Leptagrion bocainense Santos, 1979",Libélula,VU
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Leptagrion capixabae  Santos, 1965",Libélula,VU
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Leptagrion porrectum Selys, 1968",Libélula,EN
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Leptagrion vriesianum Santos, 1978",Libélula,VU
444,Invertebrados Terrestres,Insecta,Zygoptera,Coenagrionidae,"Mecistogaster pronoti Sjöstedt, 1918",Libélula,CR
444,Invertebrados Terrestres,Insecta,Zygoptera,Heteragrionidae,"Heteragrion petienses Williamson, 1909",Libélula,EN
444,Invertebrados Terrestres,Oligochaeta,Haplotaxida,Glossoscolecidae,"Fimoscolex sporadochaetus Michaelsen, 1918",Minhoca-branca,EN
444,Invertebrados Terrestres,Onychophora,Euonychophora,Peripatidae,"Epiperipatus adenocryptus Oliveira, Lacorte, Fonseca, Wieloch & Mayer, 2011",Desconhecido,CR
444,Invertebrados Terrestres,Onychophora,Euonychophora,Peripatidae,"Epiperipatus diadenoproctus Oliveira, Lacorte, Fonseca, Wieloch & Mayer, 2011",Desconhecido,VU
444,Invertebrados Terrestres,Onychophora,Euonychophora,Peripatidae,"Epiperipatus ohausi (Bouvier, 1900)",Desconhecido,EN
444,Invertebrados Terrestres,Onychophora,Euonychophora,Peripatidae,"Epiperipatus paurognostus Oliveira, Lacorte, Fonseca, Wieloch & Mayer, 2011",Desconhecido,CR
444,Mamíferos,Mammalia,Artiodacyla,Cervidae,"Blastocerus dichotomus (Illiger, 1815)",Cervo-do-pantanal,VU
444,Mamíferos,Mammalia,Artiodacyla,Cervidae,"Mazama bororo Duarte, 1996",Veado-bororó-de-são-paulo,VU
444,Mamíferos,Mammalia,Artiodacyla,Cervidae,"Mazama nana (Hensel, 1872)",Veado-bororó-do-sul,VU
444,Mamíferos,Mammalia,Artiodacyla,Cervidae,"Ozotoceros bezoarticus bezoarticus (Linnaeus, 1758)",Veado-campeiro,VU
444,Mamíferos,Mammalia,Artiodacyla,Cervidae,"Ozotoceros bezoarticus leucogaster (Goldfuss, 1817)",Veado-campeiro,VU
444,Mamíferos,Mammalia,Artiodacyla,Tayassuidae,"Tayassu pecari (Link, 1795)",Queixada,VU
444,Mamíferos,Mammalia,Carnivora,Canidae,"Atelocynus microtis (Sclater, 1883)",Cachorro-do-mato-de-orelhas-curtas,VU
444,Mamíferos,Mammalia,Carnivora,Canidae,"Chrysocyon brachyurus (Illiger, 1815)",Lobo-guará,VU
444,Mamíferos,Mammalia,Carnivora,Canidae,"Lycalopex vetulus (Lund, 1842)",Raposa-do-campo,VU
444,Mamíferos,Mammalia,Carnivora,Canidae,"Speothos venaticus (Lund, 1842)",Cachorro-vinagre,VU
444,Mamíferos,Mammalia,Carnivora,Felidae,"Leopardus colocolo (Molina, 1782)",Gato-palheiro,VU
444,Mamíferos,Mammalia,Carnivora,Felidae,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Gato-do-mato-grande,VU
444,Mamíferos,Mammalia,Carnivora,Felidae,"Leopardus guttulus (Hensel, 1872)",Gato-do-mato,VU
444,Mamíferos,Mammalia,Carnivora,Felidae,"Leopardus tigrinus (Schreber, 1775)",Gato-do-mato,EN
444,Mamíferos,Mammalia,Carnivora,Felidae,"Leopardus wiedii (Schinz, 1821)",Gato-maracajá,VU
444,Mamíferos,Mammalia,Carnivora,Felidae,"Panthera onca (Linnaeus, 1758)",Onça-pintada,VU
444,Mamíferos,Mammalia,Carnivora,Felidae,"Puma concolor (Linnaeus, 1771)",Onça-parda,VU
