Familia,Especie,Categoria,IN608
CYPERACEAE,Trilepis tenuis,CR,não
DICHAPETALACEAE,Stephanopodium engleri,EN,não
DICHAPETALACEAE,Stephanopodium magnifolium,CR,não
DICKSONIACEAE,Dicksonia sellowiana,EN,sim
DICRANACEAE,Atractylocarpus brasiliensis,EN,sim
DICRANACEAE,Atractylocarpus longisetus,EN,sim
DICRANACEAE,Campylopus densicoma,EN,sim
DILLENIACEAE,Davilla glaziovii,CR,sim
DILLENIACEAE,Davilla macrocarpa,VU,não
DILLENIACEAE,Doliocarpus lancifolius,EN,não
DIOSCOREACEAE,Dioscorea asperula,VU,não
DIOSCOREACEAE,Dioscorea loefgrenii,VU,não
DIOSCOREACEAE,Dioscorea mantiqueirensis,CR,não
DIOSCOREACEAE,Dioscorea pseudomacrocapsa,EN,não
DIOSCOREACEAE,Dioscorea sanpaulensis,EN,não
DIOSCOREACEAE,Dioscorea trilinguis,EN,não
DITRICHACEAE,Chrysoblastella chilensis,EN,não
DROSERACEAE,Drosera graomogolensis,EN,não
DRYOPTERIDACEAE,Elaphoglossum acrocarpum,VU,não
DRYOPTERIDACEAE,Elaphoglossum amplissimum,EN,não
DRYOPTERIDACEAE,Elaphoglossum beckeri,CR,não
DRYOPTERIDACEAE,Megalastrum wacketii,EN,não
DRYOPTERIDACEAE,Polystichum bradei,EN,não
ELAEOCARPACEAE,Sloanea obtusifolia,EN,não
EPHEDRACEAE,Ephedra tweediana,VU,não
ERICACEAE,Gaultheria sleumeriana,CR,não
ERICACEAE,Gaylussacia angulata,EN,não
ERICACEAE,Gaylussacia caparoensis,EN,não
ERICACEAE,Gaylussacia centunculifolia,EN,não
ERICACEAE,Gaylussacia harleyi,VU,não
ERICACEAE,Gaylussacia oleifolia,EN,não
ERICACEAE,Gaylussacia pruinosa,CR,não
ERICACEAE,Gaylussacia retivenia,CR,não
ERICACEAE,Gaylussacia setosa,CR,não
ERIOCAULACEAE,Actinocephalus cipoensis,CR,sim
ERIOCAULACEAE,Actinocephalus claussenianus,VU,sim
ERIOCAULACEAE,Comanthera bahiensis,EN,sim
ERIOCAULACEAE,Comanthera brasiliana,CR,sim
ERIOCAULACEAE,Comanthera elegans,EN,sim
ERIOCAULACEAE,Comanthera harleyi,VU,sim
ERIOCAULACEAE,Comanthera mucugensis,EN,sim
ERIOCAULACEAE,Leiothrix echinocephala,VU,não
ERIOCAULACEAE,Paepalanthus ater,CR,não
ERIOCAULACEAE,Paepalanthus hydra,EN,sim
ERIOCAULACEAE,Syngonanthus itambeensis,EN,não
ERIOCAULACEAE,Syngonanthus laricifolius,VU,não
ERYTHROXYLACEAE,Erythroxylum bezerrae,EN,sim
ERYTHROXYLACEAE,Erythroxylum catharinense,EN,sim
ERYTHROXYLACEAE,Erythroxylum compressum,EN,sim
ERYTHROXYLACEAE,Erythroxylum leal-costae,CR,sim
ERYTHROXYLACEAE,Erythroxylum mattos-silvae,EN,sim
ERYTHROXYLACEAE,Erythroxylum membranaceum,EN,sim
ERYTHROXYLACEAE,Erythroxylum nelson-rosae,EN,não
ERYTHROXYLACEAE,Erythroxylum pauferrense,EN,sim
ERYTHROXYLACEAE,Erythroxylum petrae-caballi,VU,não
ERYTHROXYLACEAE,Erythroxylum substriatum,VU,não
ERYTHROXYLACEAE,Erythroxylum tianguanum,CR,sim
ESCALLONIACEAE,Escallonia obtusissima,VU,não
ESCALLONIACEAE,Escallonia petrophila,EN,não
EUPHORBIACEAE,Adenophaedra cearensis,CR,não
EUPHORBIACEAE,Algernonia dimitrii,CR,não
EUPHORBIACEAE,Algernonia kuhlmannii,CR,não
EUPHORBIACEAE,Astraea cincta,EN,não
EUPHORBIACEAE,Bernardia confertifolia,EN,não
EUPHORBIACEAE,Bernardia crassifolia,EN,não
EUPHORBIACEAE,Caperonia buettneriacea,VU,não
EUPHORBIACEAE,Chiropetalum foliosum,EN,não
EUPHORBIACEAE,Chiropetalum gymnadenium,VU,não
EUPHORBIACEAE,Croton leptobotryus,VU,não
EUPHORBIACEAE,Dalechampia purpurata,EN,não
EUPHORBIACEAE,Dalechampia riparia,CR,sim
EUPHORBIACEAE,Euphorbia appariciana,EN,não
EUPHORBIACEAE,Euphorbia attastoma,EN,não
EUPHORBIACEAE,Euphorbia crossadenia,EN,não
EUPHORBIACEAE,Euphorbia gymnoclada,VU,não
EUPHORBIACEAE,Euphorbia holochlorina,CR,não
EUPHORBIACEAE,Manihot procumbens,VU,não
FABACEAE,Aeschynomene fructipendula,EN,sim
FABACEAE,Aeschynomene laca-buendiana,EN,não
FABACEAE,Albizia burkartiana,VU,não
FABACEAE,Albizia glabripetala,EN,não
FABACEAE,Amburana acreana,VU,sim
FABACEAE,Apuleia leiocarpa,VU,não
FABACEAE,Arachis villosa,EN,não
FABACEAE,Bauhinia integerrima,EN,não
FABACEAE,Caesalpinia echinata,EN,sim
FABACEAE,Calliandra carrascana,EN,não
FABACEAE,Centrolobium paraense,EN,não
FABACEAE,Centrosema carajasense,VU,não
FABACEAE,Chamaecrista anamariae,EN,não
FABACEAE,Chamaecrista atroglandulosa,EN,não
FABACEAE,Chamaecrista catolesensis,VU,não
FABACEAE,Chamaecrista cipoana,VU,não
FABACEAE,Chamaecrista fodinarum,VU,não
FABACEAE,Chamaecrista lagotois,CR,não
FABACEAE,Chamaecrista stillifera,VU,não
FABACEAE,Chamaecrista tephrosiifolia,VU,não
FABACEAE,Chamaecrista ulmea,CR,não
FABACEAE,Dalbergia elegans,VU,sim
FABACEAE,Dalbergia nigra,VU,sim
FABACEAE,Desmodium craspediferum,EN,não
FABACEAE,Dimorphandra wilsonii,CR,sim
FABACEAE,Gleditsia amorphoides,VU,não
FABACEAE,Harpalyce lanata,EN,não
FABACEAE,Harpalyce parvifolia,EN,não
FABACEAE,Hymenaea parvifolia,VU,não
FABACEAE,Hymenolobium excelsum,VU,não
FABACEAE,Inga aptera,VU,não
FABACEAE,Inga arenicola,EN,não
FABACEAE,Inga enterolobioides,CR,não
FABACEAE,Inga grazielae,VU,não
FABACEAE,Inga maritima,VU,não
FABACEAE,Inga mendoncaei,VU,não
FABACEAE,Inga pedunculata,CR,não
FABACEAE,Inga platyptera,VU,não
FABACEAE,Inga pleiogyna,VU,não
FABACEAE,Inga praegnans,VU,não
FABACEAE,Inga suborbicularis,VU,não
FABACEAE,Inga unica,VU,não
FABACEAE,Lathyrus acutifolius,CR,não
FABACEAE,Lathyrus paraguariensis,VU,não
FABACEAE,Leucochloron foederale,EN,não
FABACEAE,Leucochloron minarum,EN,não
FABACEAE,Lupinus coriaceus,VU,não
FABACEAE,Lupinus decurrens,EN,não
FABACEAE,Lupinus laevigatus,EN,não
FABACEAE,Machaerium obovatum,VU,sim
FABACEAE,Macrosamanea prancei,VU,não
FABACEAE,Melanoxylon brauna,VU,sim
FABACEAE,Mimosa acroconica,EN,não
FABACEAE,Mimosa adamantina,EN,não
FABACEAE,Mimosa balduinii,EN,sim
FABACEAE,Mimosa barretoi,EN,não
FABACEAE,Mimosa bathyrrhena,EN,não
FABACEAE,Mimosa bombycina,EN,não
FABACEAE,Mimosa bracteolaris,VU,não
FABACEAE,Mimosa catharinensis,EN,sim
FABACEAE,Mimosa chrysastra,CR,não
FABACEAE,Mimosa hatschbachii,EN,não
FABACEAE,Mimosa heringeri,EN,sim
FABACEAE,Mimosa involucrata,EN,não
FABACEAE,Mimosa leprosa,EN,não
FABACEAE,Mimosa lithoreas,EN,não
FABACEAE,Mimosa macedoana,EN,não
FABACEAE,Mimosa mensicola,EN,não
FABACEAE,Mimosa montis-carasae,EN,sim
FABACEAE,Mimosa myuros,VU,não
FABACEAE,Mimosa paucifolia,VU,não
FABACEAE,Mimosa psittacina,EN,não
FABACEAE,Mimosa skinneri,CR,não
FABACEAE,Mimosa suburbana,CR,sim
FABACEAE,Mimosa thomista,EN,não
FABACEAE,Mimosa uniceps,EN,não
FABACEAE,Mimosa urticaria,EN,não
FABACEAE,Moldenhawera papillanthera,VU,não
FABACEAE,Neptunia pubescens,VU,não
FABACEAE,Peltogyne maranhensis,VU,sim
FABACEAE,Sellocharis paradoxa,VU,não
FABACEAE,Swartzia glazioviana,VU,sim
FABACEAE,Swartzia linharensis,VU,não
FABACEAE,Tachigali beaurepairei,VU,não
FABACEAE,Vicia pampicola,CR,não
FABACEAE,Vouacapoua americana,EN,não
FABACEAE,Zollernia magnifica,VU,não
GELSEMIACEAE,Mostuea muricata,VU,não
GENTIANACEAE,Prepusa hookeriana,EN,sim
GENTIANACEAE,Prepusa viridiflora,EN,não
GENTIANACEAE,Senaea coerulea,EN,não
GENTIANACEAE,Senaea janeirensis,EN,não
GENTIANACEAE,Zygostigma australe,EN,não
GESNERIACEAE,Besleria umbrosa,VU,não
GESNERIACEAE,Codonanthe carnosa,VU,não
GESNERIACEAE,Codonanthe venosa,VU,não
GESNERIACEAE,Goyazia petraea,EN,não
GESNERIACEAE,Nematanthus monanthos,EN,não
GESNERIACEAE,Paliavana werdermannii,VU,não
GESNERIACEAE,Sinningia aghensis,EN,não
GESNERIACEAE,Sinningia araneosa,VU,não
GESNERIACEAE,Sinningia carangolensis,EN,não
GESNERIACEAE,Sinningia cardinalis,CR,sim
GESNERIACEAE,Sinningia cochlearis,CR,sim
GESNERIACEAE,Sinningia defoliata,VU,não
GESNERIACEAE,Sinningia glazioviana,CR,não
GESNERIACEAE,Sinningia guttata,EN,sim
GESNERIACEAE,Sinningia harleyi,EN,não
GESNERIACEAE,Sinningia hatschbachii,EN,não
GESNERIACEAE,Sinningia hirsuta,EN,sim
GESNERIACEAE,Sinningia iarae,EN,não
GESNERIACEAE,Sinningia insularis,EN,não
GESNERIACEAE,Sinningia kautskyi,VU,não
GESNERIACEAE,Sinningia lindleyi,EN,sim
GESNERIACEAE,Sinningia lineata,EN,não
GESNERIACEAE,Sinningia micans,EN,não
GESNERIACEAE,Sinningia piresiana,EN,não
GESNERIACEAE,Sinningia rupicola,EN,não
GESNERIACEAE,Sinningia striata,VU,não
GESNERIACEAE,Sinningia tuberosa,VU,não
GESNERIACEAE,Sinningia valsuganensis,EN,não
GESNERIACEAE,Sinningia villosa,EN,não
GESNERIACEAE,Sphaerorrhiza burchellii,EN,não
GESNERIACEAE,Vanhouttea lanata,EN,sim
GESNERIACEAE,Vanhouttea leonii,EN,não
GESNERIACEAE,Vanhouttea pendula,EN,não
GUNNERACEAE,Gunnera herteri,EN,não
HEDWIGIACEAE,Braunia plicata,VU,não
HUMIRIACEAE,Humiriastrum spiritu-sancti,CR,não
HYMENOPHYLLACEAE,Hymenophyllum sampaioanum,CR,não
HYMENOPHYLLACEAE,Hymenophyllum silveirae,CR,não
HYPERICACEAE,Hypericum mutilum,VU,não
IRIDACEAE,Pseudotrimezia brevistamina,CR,não
IRIDACEAE,Pseudotrimezia concava,CR,não
IRIDACEAE,Pseudotrimezia elegans,CR,sim
IRIDACEAE,Pseudotrimezia gracilis,CR,sim
IRIDACEAE,Pseudotrimezia synandra,EN,sim
IRIDACEAE,Pseudotrimezia tenuissima,EN,sim
IRIDACEAE,Trimezia exillima,EN,não
IRIDACEAE,Trimezia fistulosa,EN,sim
IRIDACEAE,Trimezia fistulosa,CR,sim
IRIDACEAE,Trimezia plicatifolia,EN,não
ISOETACEAE,Isoetes bradei,EN,sim
ISOETACEAE,Isoetes luetzelburgii,EN,não
JUNGERMANNIACEAE,Jungermannia decolor,EN,sim
LAMIACEAE,Cyanocephalus apertiflorus,VU,não
LAMIACEAE,Cyanocephalus caprariifolius,EN,não
LAMIACEAE,Cyanocephalus delicatulus,EN,não
LAMIACEAE,Cyanocephalus digitatus,EN,não
LAMIACEAE,Cyanocephalus tagetifolius,EN,sim
LAMIACEAE,Cyanocephalus viaticus,EN,não
LAMIACEAE,Eriope anamariae,EN,não
LAMIACEAE,Eriope blanchetii,VU,não
LAMIACEAE,Eriope crassipes,CR,não
LAMIACEAE,Eriope luetzelburgii,VU,não
LAMIACEAE,Eriope machrisae,EN,sim
LAMIACEAE,Eriope obovata,EN,não
LAMIACEAE,Hesperozygis ringens,VU,não
LAMIACEAE,Hypenia aristulata,CR,não
LAMIACEAE,Hypenia crispata,EN,não
LAMIACEAE,Hypenia micrantha,EN,não
LAMIACEAE,Hypenia subrosea,EN,não
LAMIACEAE,Hyptidendron claussenii,EN,sim
LAMIACEAE,Hyptidendron conspersum,EN,não
LAMIACEAE,Hyptis alpestris,EN,não
LAMIACEAE,Hyptis angustifolia,EN,não
LAMIACEAE,Hyptis arenaria,VU,sim
LAMIACEAE,Hyptis bahiensis,EN,não
LAMIACEAE,Hyptis colligata,EN,não
LAMIACEAE,Hyptis cruciformis,EN,não
LAMIACEAE,Hyptis frondosa,VU,sim
LAMIACEAE,Hyptis hamatidens,VU,não
LAMIACEAE,Hyptis imbricatiformis,EN,sim
LAMIACEAE,Hyptis pachyphylla,VU,sim
LAMIACEAE,Hyptis penaeoides,EN,sim
LAMIACEAE,Hyptis rhypidiophylla,EN,sim
LAMIACEAE,Leptohyptis pinheiroi,EN,sim
LAMIACEAE,Martianthus sancti-gabrielii,EN,não
LAMIACEAE,Medusantha carvalhoi,VU,sim
LAMIACEAE,Oocephalus piranii,CR,não
LAURACEAE,Aiouea benthamiana,EN,não
LAURACEAE,Aiouea bracteata,VU,não
LAURACEAE,Aiouea lehmannii,EN,não
LAURACEAE,Aniba ferrea,VU,não
LAURACEAE,Aniba rosaeodora,EN,sim
LAURACEAE,Aniba santalodora,VU,não
LAURACEAE,Beilschmiedia rigida,EN,sim
LAURACEAE,Cinnamomum erythropus,EN,não
LAURACEAE,Cinnamomum hatschbachii,VU,não
LAURACEAE,Cinnamomum quadrangulum,VU,não
LAURACEAE,Dicypellium caryophyllaceum,CR,sim
LAURACEAE,Mezilaurus itauba,VU,não
LAURACEAE,Mezilaurus navalium,EN,não
LAURACEAE,Nectandra barbellata,VU,não
LAURACEAE,Nectandra grisea,VU,não
LAURACEAE,Nectandra paranaensis,VU,não
LAURACEAE,Ocotea basicordatifolia,EN,sim
LAURACEAE,Ocotea beulahiae,EN,não
LAURACEAE,Ocotea beyrichii,VU,não
LAURACEAE,Ocotea bragai,EN,sim
LAURACEAE,Ocotea catharinensis,VU,sim
LAURACEAE,Ocotea confertiflora,VU,não
LAURACEAE,Ocotea cryptocarpa,EN,não
LAURACEAE,Ocotea felix,EN,não
LAURACEAE,Ocotea mosenii,VU,não
LAURACEAE,Ocotea odorifera,EN,sim
LAURACEAE,Ocotea porosa,EN,sim
LAURACEAE,Ocotea serrana,EN,não
LAURACEAE,Ocotea tabacifolia,EN,não
LAURACEAE,Persea glabra,CR,não
LAURACEAE,Persea obovata,CR,não
LAURACEAE,Persea pedunculosa,EN,não
LAURACEAE,Rhodostemonodaphne capixabensis,EN,sim
LAURACEAE,Rhodostemonodaphne parvifolia,CR,não
LAURACEAE,Rhodostemonodaphne recurva,EN,não
LAURACEAE,Urbanodendron bahiense,VU,não
LAURACEAE,Williamodendron cinnamomeum,CR,não
LECYTHIDACEAE,Bertholletia excelsa,VU,sim
LECYTHIDACEAE,Cariniana ianeirensis,EN,sim
LECYTHIDACEAE,Cariniana legalis,EN,não
LECYTHIDACEAE,Cariniana parvifolia,EN,sim
LECYTHIDACEAE,Couratari asterotricha,EN,sim
LECYTHIDACEAE,Couratari pyramidata,EN,não
LECYTHIDACEAE,Eschweilera alvimii,EN,não
LECYTHIDACEAE,Eschweilera compressa,EN,não
LECYTHIDACEAE,Eschweilera subcordata,EN,não
LECYTHIDACEAE,Eschweilera tetrapetala,EN,não
LECYTHIDACEAE,Lecythis schwackei,EN,não
LEJEUNEACEAE,Blepharolejeunea securifolia,EN,sim
LEJEUNEACEAE,Bromeliophila natans,EN,sim
LEJEUNEACEAE,Drepanolejeunea aculeata,EN,sim
LEJEUNEACEAE,Myriocoleopsis fluviatilis,VU,sim
LENTIBULARIACEAE,Genlisea lobata,EN,não
LENTIBULARIACEAE,Utricularia tridentata,VU,não
LEPIDOZIACEAE,Paracromastigum dusenii,EN,sim
LINACEAE,Linum smithii,EN,não
LOASACEAE,Aosa uleana,CR,não
LOGANIACEAE,Spigelia aceifolia,EN,sim
LOGANIACEAE,Spigelia amplexicaulis,EN,não
LOGANIACEAE,Spigelia cipoensis,CR,sim
LOGANIACEAE,Spigelia flava,VU,não
LOGANIACEAE,Spigelia kuhlmannii,EN,não
LOGANIACEAE,Spigelia lundiana,EN,não
LOGANIACEAE,Spigelia reitzii,EN,não
LOGANIACEAE,Spigelia vestita,EN,não
LYCOPODIACEAE,Diphasium jussiaei,EN,não
LYCOPODIACEAE,Palhinhaea bradei,EN,não
LYCOPODIACEAE,Phlegmariurus aqualupianus,EN,sim
LYCOPODIACEAE,Phlegmariurus christii,EN,não
LYCOPODIACEAE,Phlegmariurus hemleri,CR,não
LYCOPODIACEAE,Phlegmariurus itambensis,EN,não
LYCOPODIACEAE,Phlegmariurus martii,EN,não
LYCOPODIACEAE,Phlegmariurus mollicomus,EN,não
LYCOPODIACEAE,Phlegmariurus mooreanus,EN,não
LYCOPODIACEAE,Phlegmariurus nudus,EN,não
LYCOPODIACEAE,Phlegmariurus regnellii,CR,não
LYCOPODIACEAE,Phlegmariurus ruber,CR,sim
LYCOPODIACEAE,Phlegmariurus sellowianus,VU,não
LYCOPODIACEAE,Phlegmariurus taxifolius,EN,não
LYCOPODIACEAE,Phlegmariurus treitubensis,CR,não
LYCOPODIACEAE,Pseudolycopodiella benjaminiana,EN,não
LYTHRACEAE,Cuphea adenophylla,CR,sim
LYTHRACEAE,Cuphea arenarioides,VU,não
LYTHRACEAE,Cuphea bahiensis,EN,não
LYTHRACEAE,Cuphea cipoensis,EN,sim
LYTHRACEAE,Cuphea cuiabensis,EN,não
LYTHRACEAE,Cuphea glaziovii,EN,não
LYTHRACEAE,Cuphea lindmaniana,EN,não
LYTHRACEAE,Cuphea rubro-virens,CR,não
LYTHRACEAE,Cuphea teleandra,CR,sim
LYTHRACEAE,Diplusodon aggregatifolius,EN,não
LYTHRACEAE,Diplusodon argyrophyllus,CR,não
LYTHRACEAE,Diplusodon ericoides,CR,sim
LYTHRACEAE,Diplusodon glaziovii,CR,sim
LYTHRACEAE,Diplusodon gracilis,CR,sim
LYTHRACEAE,Diplusodon hatschbachii,VU,sim
LYTHRACEAE,Diplusodon minasensis,EN,sim
LYTHRACEAE,Diplusodon orbicularis,VU,não
LYTHRACEAE,Diplusodon ovatus,EN,não
LYTHRACEAE,Diplusodon panniculatus,CR,sim
LYTHRACEAE,Diplusodon retroimbricatus,CR,sim
LYTHRACEAE,Diplusodon villosissimus,VU,não
LYTHRACEAE,Lafoensia nummularifolia,VU,não
MALPIGHIACEAE,Banisteriopsis andersonii,VU,não
MALPIGHIACEAE,Banisteriopsis basifixa,VU,não
MALPIGHIACEAE,Banisteriopsis cipoensis,EN,não
MALPIGHIACEAE,Banisteriopsis hatschbachii,EN,não
MALPIGHIACEAE,Banisteriopsis hirsuta,EN,não
MALPIGHIACEAE,Banisteriopsis magdalenensis,EN,não
MALPIGHIACEAE,Banisteriopsis pseudojanusia,CR,não
MALPIGHIACEAE,Banisteriopsis sellowiana,VU,não
MALPIGHIACEAE,Bunchosia itacarensis,CR,não
MALPIGHIACEAE,Bunchosia macilenta,VU,não
MALPIGHIACEAE,Bunchosia pernambucana,EN,não
MALPIGHIACEAE,Byrsonima alvimii,VU,não
MALPIGHIACEAE,Byrsonima brachybotrya,VU,não
MALPIGHIACEAE,Byrsonima cipoensis,EN,não
MALPIGHIACEAE,Byrsonima fonsecae,CR,não
MALPIGHIACEAE,Byrsonima lanulosa,EN,não
MALPIGHIACEAE,Byrsonima microphylla,EN,não
MALPIGHIACEAE,Byrsonima onishiana,EN,não
MALPIGHIACEAE,Camarea elongata,VU,não
MALPIGHIACEAE,Camarea humifusa,EN,não
MALPIGHIACEAE,Camarea linearifolia,CR,não
MALPIGHIACEAE,Diplopterys sepium,EN,não
MALPIGHIACEAE,Heladena multiflora,EN,não
MALPIGHIACEAE,Heteropterys admirabilis,EN,não
MALPIGHIACEAE,Heteropterys aliciae,CR,não
MALPIGHIACEAE,Heteropterys bahiensis,CR,não
MALPIGHIACEAE,Heteropterys brasiliensis,EN,não
MALPIGHIACEAE,Heteropterys bullata,EN,não
MALPIGHIACEAE,Heteropterys capixaba,EN,não
MALPIGHIACEAE,Heteropterys conformis,CR,não
MALPIGHIACEAE,Heteropterys crinigera,VU,não
MALPIGHIACEAE,Heteropterys dusenii,VU,não
MALPIGHIACEAE,Heteropterys fragilis,EN,não
MALPIGHIACEAE,Heteropterys hatschbachii,CR,não
MALPIGHIACEAE,Heteropterys marginata,EN,não
MALPIGHIACEAE,Heteropterys megaptera,EN,não
MALPIGHIACEAE,Heteropterys oberdanii,VU,não
MALPIGHIACEAE,Heteropterys occhionii,CR,não
MALPIGHIACEAE,Heteropterys sanctorum,CR,não
MALPIGHIACEAE,Heteropterys ternstroemiifolia,EN,não
MALPIGHIACEAE,Heteropterys thyrsoidea,EN,não
MALPIGHIACEAE,Hiraea bullata,VU,não
MALPIGHIACEAE,Hiraea wiedeana,EN,não
MALPIGHIACEAE,Janusia linearifolia,VU,não
MALPIGHIACEAE,Janusia occhionii,EN,não
MALPIGHIACEAE,Janusia schwannioides,EN,não
MALPIGHIACEAE,Mezia araujoi,EN,não
MALPIGHIACEAE,Peixotoa adenopoda,EN,não
MALPIGHIACEAE,Peixotoa andersonii,CR,não
MALPIGHIACEAE,Peixotoa bahiana,CR,não
MALPIGHIACEAE,Peixotoa barnebyi,EN,não
MALPIGHIACEAE,Peixotoa catarinensis,EN,não
MALPIGHIACEAE,Peixotoa cipoana,EN,não
MALPIGHIACEAE,Peixotoa psilophylla,VU,não
MALPIGHIACEAE,Stigmaphyllon bradei,CR,sim
MALPIGHIACEAE,Stigmaphyllon carautae,CR,não
MALPIGHIACEAE,Stigmaphyllon crenatum,EN,não
MALPIGHIACEAE,Stigmaphyllon glabrum,CR,não
MALPIGHIACEAE,Stigmaphyllon harleyi,EN,não
MALPIGHIACEAE,Stigmaphyllon macedoanum,CR,não
MALPIGHIACEAE,Stigmaphyllon mattogrossense,CR,não
MALPIGHIACEAE,Stigmaphyllon vitifolium,CR,não
MALPIGHIACEAE,Thryallis laburnum,VU,não
MALPIGHIACEAE,Thryallis parviflora,EN,não
MALVACEAE,Abutilon anodoides,CR,não
MALVACEAE,Abutilon nigricans,CR,não
MALVACEAE,Calyculogygas uruguayensis,EN,não
MALVACEAE,Calyptraemalva catharinensis,EN,sim
MALVACEAE,Hochreutinera hasslerana,EN,não
MALVACEAE,Monteiroa smithii,EN,não
MALVACEAE,Pavonia almasana,EN,não
MALVACEAE,Pavonia grazielae,VU,não
MALVACEAE,Pavonia hatschbachii,EN,não
MALVACEAE,Pavonia spiciformis,EN,não
MARANTACEAE,Goeppertia tuberosa,EN,não
MARANTACEAE,Goeppertia widgrenii,EN,não
MARANTACEAE,Ischnosiphon ovatus,EN,não
MARANTACEAE,Maranta subterranea,VU,não
MARANTACEAE,Saranthe composita,VU,não
MARCHANTIACEAE,Marchantia berteroana,EN,não
MARSILEACEAE,Regnellidium diphyllum,VU,não
MELASTOMATACEAE,Bertolonia angustifolia,CR,não
MELASTOMATACEAE,Bertolonia formosa,CR,não
MELASTOMATACEAE,Bertolonia foveolata,EN,não
MELASTOMATACEAE,Bertolonia hoehneana,CR,não
MELASTOMATACEAE,Bertolonia leuzeana,EN,não
MELASTOMATACEAE,Bertolonia paranaensis,EN,não
MELASTOMATACEAE,Cambessedesia atropurpurea,VU,não
MELASTOMATACEAE,Cambessedesia gracilis,EN,não
MELASTOMATACEAE,Cambessedesia hermogenesii,EN,sim
MELASTOMATACEAE,Cambessedesia weddellii,VU,não
MELASTOMATACEAE,Cambessedesia wurdackii,VU,não
MELASTOMATACEAE,Eriocnema acaulis,EN,sim
MELASTOMATACEAE,Eriocnema fulva,VU,sim
MELASTOMATACEAE,Huberia carvalhoi,EN,não
MELASTOMATACEAE,Huberia espiritosantensis,VU,não
MELASTOMATACEAE,Huberia pirani,EN,não
MELASTOMATACEAE,Lavoisiera cordata,VU,não
MELASTOMATACEAE,Leandra hatschbachii,EN,não
MELASTOMATACEAE,Lithobium cordatum,EN,não
MELASTOMATACEAE,Marcetia alba,CR,não
MELASTOMATACEAE,Marcetia bahiana,EN,não
MELASTOMATACEAE,Marcetia formosa,EN,não
MELASTOMATACEAE,Marcetia hatschbachii,EN,não
MELASTOMATACEAE,Marcetia luetzelburgii,EN,não
MELASTOMATACEAE,Marcetia lychnophoroides,EN,não
MELASTOMATACEAE,Marcetia nummularia,EN,não
MELASTOMATACEAE,Marcetia oxycoccoides,EN,sim
MELASTOMATACEAE,Marcetia semiriana,EN,não
MELASTOMATACEAE,Marcetia shepherdii,EN,não
MELASTOMATACEAE,Marcetia viscida,VU,não
MELASTOMATACEAE,Meriania callophylla,VU,não
MELASTOMATACEAE,Merianthera burlemarxii,EN,sim
MELASTOMATACEAE,Merianthera pulchra,VU,não
MELASTOMATACEAE,Miconia angelana,CR,não
MELASTOMATACEAE,Miconia capixaba,CR,não
MELASTOMATACEAE,Miconia carvalhoana,CR,não
MELASTOMATACEAE,Miconia cipoensis,EN,não
MELASTOMATACEAE,Miconia glazioviana,VU,não
MELASTOMATACEAE,Miconia johnwurdackiana,EN,não
MELASTOMATACEAE,Miconia mendoncae,VU,não
MELASTOMATACEAE,Miconia penduliflora,EN,não
MELASTOMATACEAE,Miconia picinguabensis,EN,não
MELASTOMATACEAE,Miconia setosociliata,VU,não
MELASTOMATACEAE,Microlicia canastrensis,EN,não
MELASTOMATACEAE,Microlicia cuspidifolia,CR,não
MELASTOMATACEAE,Microlicia flava,EN,não
MELASTOMATACEAE,Microlicia glazioviana,EN,não
MELASTOMATACEAE,Microlicia humilis,VU,não
MELASTOMATACEAE,Microlicia macedoi,EN,não
MELASTOMATACEAE,Microlicia microphylla,CR,não
MELASTOMATACEAE,Microlicia obtusifolia,EN,não
MELASTOMATACEAE,Microlicia psammophila,EN,não
MELASTOMATACEAE,Mouriri megasperma,CR,não
MELASTOMATACEAE,Ossaea warmingiana,VU,sim
MELASTOMATACEAE,Rhynchanthera latifolia,VU,não
MELASTOMATACEAE,Svitramia integerrima,EN,não
MELASTOMATACEAE,Svitramia minor,VU,não
MELASTOMATACEAE,Svitramia wurdackiana,VU,não
MELASTOMATACEAE,Tibouchina apparicioi,EN,não
MELASTOMATACEAE,Tibouchina bergiana,EN,sim
MELASTOMATACEAE,Tibouchina boudetii,VU,não
MELASTOMATACEAE,Tibouchina castellensis,CR,não
MELASTOMATACEAE,Tibouchina quartzophila,EN,sim
MELASTOMATACEAE,Tibouchina riedeliana,EN,não
MELASTOMATACEAE,Trembleya calycina,EN,não
MELASTOMATACEAE,Trembleya chamissoana,EN,não
MELASTOMATACEAE,Trembleya hatschbachii,EN,não
MELASTOMATACEAE,Trembleya pityoides,CR,não
MELIACEAE,Cedrela fissilis,VU,não
MELIACEAE,Cedrela lilloi,EN,não
MELIACEAE,Cedrela odorata,VU,não
MELIACEAE,Swietenia macrophylla,VU,sim
MELIACEAE,Trichilia blanchetii,VU,não
MELIACEAE,Trichilia florbranca,CR,não
MELIACEAE,Trichilia magnifoliola,EN,não
MELIACEAE,Trichilia micropetala,EN,não
MELIACEAE,Trichilia stellato-tomentosa,VU,não
METZGERIACEAE,Metzgeria hegewaldii,EN,não
MONIMIACEAE,Macropeplus friburgensis,EN,sim
MONIMIACEAE,Mollinedia eugeniifolia,EN,não
MONIMIACEAE,Mollinedia longicuspidata,EN,sim
MONIMIACEAE,Mollinedia luizae,VU,não
MORACEAE,Dorstenia conceptionis,EN,não
MORACEAE,Dorstenia hildegardis,CR,não
